pickslip_id,parts_m,edge_freq
pickslip_8590012653,"part_8589934839,part_8589934841,part_8589934849,part_8589934859,part_8589934863,part_8589934874,part_8589934876,part_8589934880,part_8589934911,part_8589935078,part_8589935241,part_8589935363,part_8589935387,part_8589935492,part_8589936015,part_8589936106,part_8589936125,part_8589936132,part_8589936142,part_8589936146,part_8589936158,part_8589936633,part_8589936742,part_8589937385,part_8589937389,part_8589937597,part_8589939152,part_8589939471,part_8589939579,part_8589940110,part_8589940820,part_8589942220,part_8589942266,part_8589946032,part_8589946998,part_8589947672,part_8589947685,part_8589948692,part_8589948998,part_8589949082,part_8589949293,part_8589949330,part_8589949500,part_8589950975,part_8589950983,part_8589952709,part_8589953762,part_8589953764,part_8589953771,part_8589954118,part_8589955719,part_8589961021,part_8589966634,part_8589966832,part_8589966909,part_8589975973,part_8589978498,part_8589978503,part_8589992905,part_8590012616,part_8590012622,part_8590012638",1
pickslip_8590036641,"part_8589935387,part_8589935661,part_8589935918",5
pickslip_8590072889,"part_8589934805,part_8589934863,part_8589934874,part_8589935028,part_8589935853,part_8589935900,part_8589936787,part_8589937078,part_8589937356,part_8589937367,part_8589937371,part_8589937372,part_8589937378,part_8589937380,part_8589937384,part_8589937389,part_8589937391,part_8589937396,part_8589937398,part_8589937405,part_8589937406,part_8589937408,part_8589937417,part_8589937450,part_8589937607,part_8589943700,part_8589947189,part_8589947596,part_8589951831,part_8589951840,part_8589958016,part_8589958147,part_8589958256,part_8589958654,part_8589961713,part_8589961731,part_8589961773,part_8589962449,part_8589965611,part_8589978498,part_8589989492,part_8589991868,part_8590005607,part_8590006159,part_8590027239,part_8590027505,part_8590030163,part_8590033532,part_8590034405,part_8590039983,part_8590044612,part_8590050011,part_8590050014,part_8590053642,part_8590058564,part_8590072870,part_8590072886,part_8590072895,part_8590072906,part_8590075978,part_8590075981,part_8590075983,part_8590075988",1
pickslip_8590124398,"part_8589936076,part_8589940992,part_8589998898,part_8589998939,part_8589998942,part_8589998944,part_8590112190",1
pickslip_8590258294,"part_8589936076,part_8589998898,part_8589998939,part_8589998944",2
pickslip_8590047403,"part_8589934694,part_8589935146,part_8589935323,part_8589998944",1
pickslip_8590070182,"part_8589936076,part_8589998898,part_8590070181",1
pickslip_8590217099,"part_8589947077,part_8589962950",1
pickslip_8589962949,"part_8589948363,part_8589962950",2
pickslip_8590237295,"part_8590016023,part_8590060037,part_8590079974",1
pickslip_8590196861,"part_8589952385,part_8590015344,part_8590016023,part_8590018481,part_8590196865",1
pickslip_8589991995,"part_8589950120,part_8589991993,part_8589991994",1
pickslip_8590268822,"part_8589934849,part_8589934857,part_8589935078,part_8589935189,part_8589935933,part_8589935934,part_8589935935,part_8589936090,part_8589936289,part_8589936338,part_8589937213,part_8589937389,part_8589937883,part_8589938725,part_8589938815,part_8589939071,part_8589940761,part_8589941351,part_8589942015,part_8589942250,part_8589942282,part_8589942289,part_8589942537,part_8589958091,part_8589958137,part_8589958164,part_8589962408,part_8589999146,part_8589999147,part_8589999367,part_8590001774,part_8590018397,part_8590024671,part_8590025832,part_8590047204,part_8590054741,part_8590062579,part_8590106234,part_8590106250,part_8590106251,part_8590110361,part_8590110366,part_8590110368,part_8590116437,part_8590124250,part_8590214873,part_8590220047,part_8590233018,part_8590264961,part_8590268049,part_8590268060,part_8590268792",1
pickslip_8590057219,"part_8589935885,part_8589999367",1
pickslip_8590164491,"part_8589941358,part_8589944770",1
pickslip_8589944770,"part_8589944769,part_8589944770",6
pickslip_8590188644,"part_8589940116,part_8589940117,part_8589969768",1
pickslip_8590216117,"part_8589934930,part_8589934938,part_8589934939,part_8589935254,part_8589935257,part_8589935297,part_8589935382,part_8589935728,part_8589935730,part_8589938358,part_8589941165,part_8589941533,part_8589941534,part_8589941535,part_8589942557,part_8589944778,part_8589944781,part_8589944783,part_8589944784,part_8589944786,part_8589944787,part_8589944796,part_8589944798,part_8589944799,part_8589944801,part_8589944803,part_8589944807,part_8589944809,part_8589944816,part_8589944817,part_8589944820,part_8589944829,part_8589944835,part_8589944837,part_8589944842,part_8589944845,part_8589945823,part_8589945824,part_8589945872,part_8589958968,part_8589965690,part_8589968333,part_8589968338,part_8589969670,part_8590005057,part_8590005699,part_8590017878,part_8590021036,part_8590021370,part_8590021372,part_8590021374,part_8590021376,part_8590021377,part_8590021378,part_8590021379,part_8590021381,part_8590021382,part_8590021383,part_8590021384,part_8590022339,part_8590022340,part_8590022341,part_8590027836,part_8590036190,part_8590043029,part_8590047739,part_8590049157,part_8590061571,part_8590082504,part_8590105096,part_8590107768,part_8590107769,part_8590107770,part_8590107773,part_8590107778,part_8590107781,part_8590107782,part_8590107783,part_8590107785,part_8590107790,part_8590107791,part_8590107793,part_8590107794,part_8590107795,part_8590107797,part_8590107869,part_8590107870,part_8590107871,part_8590107873,part_8590107875,part_8590107877,part_8590107879,part_8590107881,part_8590107882,part_8590108057,part_8590108058,part_8590108062,part_8590108063,part_8590108065,part_8590108066,part_8590108067,part_8590108068,part_8590111167,part_8590111168,part_8590111169,part_8590111170,part_8590111171,part_8590111179,part_8590111183,part_8590111184,part_8590111188,part_8590114471,part_8590114473,part_8590114474,part_8590114477,part_8590120439,part_8590127838,part_8590132333,part_8590134850,part_8590134852,part_8590134856,part_8590134859,part_8590134860,part_8590134862,part_8590187260,part_8590206924,part_8590206927,part_8590206944,part_8590206952,part_8590206954,part_8590206963,part_8590207235,part_8590207241,part_8590207248",1
pickslip_8590111182,"part_8589944786,part_8589944787,part_8589944837,part_8589944842,part_8590005057,part_8590012088,part_8590021372,part_8590021373,part_8590021379,part_8590082504,part_8590108057,part_8590108058,part_8590108060,part_8590108062,part_8590108063,part_8590108065,part_8590108066,part_8590108067,part_8590108068,part_8590111179,part_8590111183,part_8590111184,part_8590111188",1
pickslip_8590199883,"part_8589969670,part_8590021374,part_8590021377,part_8590021381,part_8590027836,part_8590105096,part_8590111167,part_8590127838",1
pickslip_8589945783,"part_8589945782,part_8589945783",1
pickslip_8589963540,"part_8589936366,part_8589938981,part_8589938982,part_8589945510",1
pickslip_8590127833,"part_8589936366,part_8589938981,part_8589938982",1
pickslip_8590169538,"part_8589936366,part_8589938981,part_8589982507",1
pickslip_8590119766,"part_8589934699,part_8589936366",1
pickslip_8590177657,"part_8589936366,part_8589945782",1
pickslip_8590178757,"part_8589936366,part_8589938724,part_8589945782",1
pickslip_8590090250,"part_8589934673,part_8590035120",1
pickslip_8590151803,"part_8589934666,part_8589935527,part_8589937166,part_8589979371,part_8589979384",1
pickslip_8590202684,"part_8590082337,part_8590082339,part_8590107033,part_8590174607,part_8590202682,part_8590202683,part_8590202684,part_8590202688,part_8590202689",1
pickslip_8590043534,"part_8589934848,part_8589934876,part_8589934898,part_8589935189,part_8589935299,part_8589935976,part_8589936086,part_8589936091,part_8589936111,part_8589940091,part_8589940196,part_8589941719,part_8589941721,part_8589942208,part_8589942210,part_8589942215,part_8589942246,part_8589942250,part_8589946880,part_8589958024,part_8590043532",1
pickslip_8589963157,"part_8589937092,part_8589953340",7
pickslip_8589983104,"part_8589937092,part_8589960556",1
pickslip_8590260633,"part_8590126195,part_8590140630,part_8590140631,part_8590260616,part_8590260630,part_8590260631,part_8590260632",1
pickslip_8590011580,"part_8589934699,part_8589935881,part_8589936359,part_8589936360,part_8589951379,part_8589955354,part_8589999845,part_8589999847,part_8589999848,part_8589999859,part_8589999860,part_8589999861,part_8590011571,part_8590011572,part_8590011574,part_8590011576,part_8590011577,part_8590011630,part_8590011631,part_8590011639,part_8590011640",2
pickslip_8589999860,"part_8589934666,part_8589934699,part_8589999845,part_8589999847,part_8589999848,part_8589999859,part_8589999860,part_8589999861",1
pickslip_8590272111,"part_8589943299,part_8589944815,part_8589944829,part_8589944843,part_8589949545,part_8590084750,part_8590121545,part_8590121547,part_8590121549,part_8590121551,part_8590121555,part_8590121556,part_8590136040,part_8590137465,part_8590137647,part_8590149799,part_8590158060,part_8590158158,part_8590158167,part_8590158169,part_8590158170,part_8590158179,part_8590158180,part_8590197779,part_8590197785,part_8590197788,part_8590197804,part_8590197806,part_8590197808,part_8590197810,part_8590197811,part_8590197815,part_8590197821,part_8590197823,part_8590197824,part_8590199277,part_8590199287,part_8590199292,part_8590199295,part_8590199330,part_8590199793,part_8590199796,part_8590199797,part_8590225050,part_8590225084,part_8590225354,part_8590230334,part_8590230336,part_8590230339,part_8590230340,part_8590230341,part_8590230345,part_8590230347,part_8590230349,part_8590235067,part_8590235074,part_8590236244,part_8590246018,part_8590247110,part_8590272105,part_8590272114,part_8590272120,part_8590272141,part_8590272145,part_8590272147,part_8590272149,part_8590272151,part_8590272152,part_8590272159,part_8590272163,part_8590272165,part_8590272166,part_8590272170",1
pickslip_8590277158,"part_8589941441,part_8589941442,part_8589941443,part_8589941445,part_8589941447,part_8589941448,part_8589941449,part_8589943299,part_8589944815,part_8589944843,part_8589949545,part_8589956127,part_8590083779,part_8590121546,part_8590121547,part_8590121549,part_8590121551,part_8590121553,part_8590121555,part_8590121556,part_8590137465,part_8590137647,part_8590149799,part_8590158160,part_8590158166,part_8590158167,part_8590158169,part_8590158170,part_8590158179,part_8590158180,part_8590158203,part_8590197779,part_8590197780,part_8590197785,part_8590197788,part_8590197804,part_8590197806,part_8590197808,part_8590197810,part_8590197811,part_8590197815,part_8590197821,part_8590197823,part_8590197824,part_8590199277,part_8590199287,part_8590199292,part_8590199295,part_8590199330,part_8590199793,part_8590199796,part_8590199797,part_8590225050,part_8590225084,part_8590230336,part_8590230339,part_8590230340,part_8590230341,part_8590230345,part_8590230347,part_8590230349,part_8590236244,part_8590247110,part_8590272105,part_8590272114,part_8590272120,part_8590272145,part_8590272147,part_8590272149,part_8590272151,part_8590272152,part_8590272159,part_8590272163,part_8590272165,part_8590272166,part_8590272170,part_8590276805,part_8590277197,part_8590277202",1
pickslip_8590277124,"part_8589943299,part_8590013361,part_8590121553,part_8590121554,part_8590121555,part_8590149799,part_8590158159,part_8590158179,part_8590158180,part_8590225045,part_8590225050,part_8590225077,part_8590230336,part_8590230345,part_8590273376,part_8590276805,part_8590276806,part_8590276807",1
pickslip_8590053864,"part_8589937813,part_8589959798,part_8590053863",1
pickslip_8590257852,"part_8589934747,part_8589965825,part_8590011360,part_8590096445,part_8590256747,part_8590257851",1
pickslip_8590256746,"part_8589939796,part_8590256747",1
pickslip_8590205749,"part_8589965825,part_8590028040,part_8590096445",1
pickslip_8590128666,"part_8589934897,part_8590096445",1
pickslip_8590269822,"part_8589935703,part_8589939796,part_8590016308",1
pickslip_8590256946,"part_8589984689,part_8589984724",3
pickslip_8590028038,"part_8589984689,part_8590028037",1
pickslip_8590127936,"part_8589934967,part_8589935823,part_8589935829,part_8589956349",1
pickslip_8589957143,"part_8589934712,part_8589935829,part_8589937299,part_8589938271,part_8589941088",1
pickslip_8590037416,"part_8589934659,part_8589934796,part_8589935823,part_8589951885,part_8589956349",1
pickslip_8590228976,"part_8589934659,part_8589934796,part_8589956349",2
pickslip_8590258618,"part_8589949083,part_8589966208,part_8590258657",1
pickslip_8590043903,"part_8589934843,part_8589934848,part_8589934870,part_8589934876,part_8589935400,part_8589936049,part_8589936141,part_8589936389,part_8589937384,part_8589941351,part_8589941719,part_8589941748,part_8589943066,part_8589949083,part_8589958137,part_8589967932,part_8589997067,part_8590000224,part_8590036217,part_8590038371,part_8590039410,part_8590040046,part_8590043904",1
pickslip_8589967129,"part_8589945894,part_8589949083",6
pickslip_8590056962,"part_8589949083,part_8590056963",1
pickslip_8590170795,"part_8589935160,part_8589949083,part_8590070018",2
pickslip_8590112176,"part_8589935109,part_8589949083",1
pickslip_8590021438,"part_8589940566,part_8589941121,part_8589941123,part_8589941129,part_8589995541,part_8589995560,part_8589995568",1
pickslip_8590106875,"part_8589941129,part_8589995541,part_8589995560,part_8590021286",1
pickslip_8589995914,"part_8589995541,part_8589995558,part_8589995560,part_8589995568",1
pickslip_8589995981,"part_8589941123,part_8589941126,part_8589941129",1
