part_id,part_abs_freq,type
part_8590041402,1,Consumable
part_8590230336,9,Consumable
part_8589934656,102,Part
part_8589953865,4,Consumable
part_8589962838,6,Consumable
part_8589958021,3,Consumable
part_8589935720,30,Consumable
part_8589958008,8,Consumable
part_8590211140,1,Consumable
part_8590114470,2,Consumable
part_8590023363,1,Consumable
part_8589966282,5,Consumable
part_8590075598,1,Consumable
part_8590093913,1,Consumable
part_8590104246,1,Consumable
part_8589949539,2,Consumable
part_8590207939,1,Consumable
part_8590107666,2,Part
part_8589963388,1,Consumable
part_8590087803,1,Consumable
part_8589958073,3,Consumable
part_8589939286,8,Consumable
part_8590073633,1,Consumable
part_8589958074,7,Consumable
part_8589953991,1,Part
part_8589940873,16,Consumable
part_8589940875,5,Part
part_8589934757,29,Part
part_8590120541,3,Consumable
part_8590072076,2,Part
part_8589942896,2,Part
part_8589940433,73,Consumable
part_8589939956,20,Consumable
part_8589952285,2,Consumable
part_8589955069,6,Consumable
part_8589958016,6,Consumable
part_8589999491,1,Consumable
part_8589977634,4,Consumable
part_8590077166,4,Consumable
part_8590214612,1,Consumable
part_8589958064,9,Consumable
part_8589962187,7,Consumable
part_8590075611,2,Consumable
part_8590029811,2,Consumable
part_8589976770,6,Part
part_8589947919,1,Consumable
part_8589950280,11,Consumable
part_8589942310,16,Consumable
part_8589958056,3,Consumable
part_8589992284,1,Part
part_8589985233,2,Consumable
part_8590197483,7,Consumable
part_8590159004,1,Raw material
part_8589939452,27,Consumable
part_8589936742,26,Consumable
part_8590103267,5,Consumable
part_8589934636,102,Consumable
part_8590001872,2,Part
part_8590015916,1,Part
part_8590228965,2,Consumable
part_8590036624,2,Consumable
part_8590170226,1,Part
part_8589984405,15,Part
part_8589976143,13,Consumable
part_8590178545,1,Non-aircraft material
part_8589950478,8,Part
part_8589947010,29,Part
part_8589991998,1,Consumable
part_8589967406,8,Consumable
part_8589958544,2,Consumable
part_8590172569,5,Part
part_8590172572,5,Part
part_8589941442,3,Consumable
part_8590107783,4,Consumable
part_8590197802,5,Consumable
part_8590016898,6,Consumable
part_8590011960,1,Consumable
part_8589976934,12,Non-aircraft material
part_8590180515,1,Consumable
part_8590130160,1,Consumable
part_8590178549,1,Non-aircraft material
part_8590178111,3,Part
part_8590267413,1,Consumable
part_8589969742,1,Consumable
part_8589951215,3,Consumable
part_8590154823,1,Consumable
part_8590047897,1,Consumable
part_8589952091,1,Part
part_8590009871,4,Part
part_8589934703,52,Consumable
part_8589979044,18,Consumable
part_8589944421,42,Consumable
part_8589966643,3,Consumable
part_8590034903,6,Consumable
part_8589939558,17,Consumable
part_8589934879,14,Consumable
part_8590210997,1,Part
part_8589956654,3,Consumable
part_8589983883,1,Part
part_8589963669,20,Consumable
part_8589936838,8,Consumable
part_8589951649,5,Consumable
part_8589935025,27,Consumable
part_8590209181,2,Part
part_8590209182,1,Part
part_8589941627,47,Consumable
part_8589938049,181,Consumable
part_8590194117,3,Non-aircraft material
part_8590186095,1,Part
part_8589938316,11,Consumable
part_8590240985,1,Consumable
part_8589991251,1,Part
part_8590140821,1,Consumable
part_8589934867,48,Consumable
part_8590055500,1,Consumable
part_8590157089,2,Consumable
part_8590004122,1,Consumable
part_8590222803,1,Consumable
part_8590100153,4,Part
part_8589943979,4,Part
part_8590262123,1,Consumable
part_8589982822,4,Consumable
part_8590134550,2,Consumable
part_8590242415,1,Raw material
part_8589965655,2,Consumable
part_8589968169,10,Raw material
part_8589965658,18,Raw material
part_8589938868,14,Raw material
part_8590201730,1,Consumable
part_8590041155,1,Consumable
part_8590022083,4,Consumable
part_8590098494,3,Consumable
part_8590002883,1,Consumable
part_8589941443,9,Consumable
part_8590064645,1,Part
part_8590071238,1,Consumable
part_8589943838,3,Consumable
part_8589942322,40,Part
part_8589946872,29,Part
part_8590262102,2,Part
part_8590248834,2,Consumable
part_8590088009,3,Part
part_8590082805,1,Part
part_8590143487,3,Part
part_8589935611,12,Part
part_8590064809,7,Part
